method,seed,round,budget,hypervolume,igd,n_nondominated,objective_spacing,archive_input_diversity,last_batch_diversity
categorical_reward,3,5,84,0.32036,0.21028119432825454,35,0.07221674346906483,0.3339452163049584,0.3178484823651728
categorical_reward,3,6,96,0.33759,0.19806452643700176,41,0.0703547779561778,0.32375270786493876,0.285679117798311
categorical_reward,4,0,24,0.20096,0.24898532418946184,13,0.0843456685577105,0.4836114190940184,
categorical_reward,4,1,36,0.38493,0.23750485930459161,15,0.13914066165626848,0.4119028214980349,0.3510652013596572
categorical_reward,4,2,48,0.40253,0.20635158856708954,22,0.10075261567041849,0.3794425455754995,0.3177008671277707
categorical_reward,4,3,60,0.43014,0.1957062758950195,27,0.09666378585191124,0.3574857745319296,0.32152126667416725
categorical_reward,4,4,72,0.4311,0.1890296173441682,33,0.0924323543182113,0.3547954248366586,0.29273999495482433
categorical_reward,4,5,84,0.4324,0.18705370518323336,37,0.0935978052445838,0.34785086093004886,0.31559255460663227
categorical_reward,4,6,96,0.43315,0.18126628213628196,42,0.08674311132192254,0.3534797144341637,0.39036625870845665
nsga2_surrogate,0,0,24,0.24892,0.2974996019805351,12,0.1997783292683372,0.4920763373664329,
nsga2_surrogate,0,1,36,0.26895,0.24327670212803593,14,0.19491205716822843,0.5357462678377957,0.6051798256922812
nsga2_surrogate,0,2,48,0.41071,0.21816282199332968,18,0.22467656416476178,0.5463044178091493,0.5902256353984
nsga2_surrogate,0,3,60,0.44975,0.2028297022589086,22,0.17983832674157862,0.5359850424875239,0.5900109199353728
nsga2_surrogate,0,4,72,0.51408,0.16492124740792258,28,0.13995438733776414,0.5377710726009798,0.593933878809797
nsga2_surrogate,0,5,84,0.52357,0.15314687791542822,33,0.13976204385386704,0.5359556970621345,0.6083435655074197
nsga2_surrogate,0,6,96,0.54652,0.15072759312423156,35,0.15149621066561922,0.5317695637007611,0.5848850687034772
nsga2_surrogate,1,0,24,0.10398,0.33586966974103377,14,0.07035696082858457,0.44225031020119293,
nsga2_surrogate,1,1,36,0.29026,0.2541435718379797,19,0.09647256685230902,0.4908043562270553,0.5784681526856551
nsga2_surrogate,1,2,48,0.31901,0.2172268146690312,23,0.11206427949803859,0.49354252339049925,0.5931814545730241
nsga2_surrogate,1,3,60,0.38398,0.18668730293411698,26,0.1269903733855258,0.5132677424479725,0.6109987119152915
nsga2_surrogate,1,4,72,0.4817,0.17251429850719344,30,0.11475826061229241,0.5108775256048336,0.5620643649806667
nsga2_surrogate,1,5,84,0.52972,0.16453458075093325,34,0.10978865563920685,0.5073171990518516,0.6124510961048022
nsga2_surrogate,1,6,96,0.53227,0.16512072487287302,35,0.1097553108355488,0.5127018691412207,0.607625840125454
nsga2_surrogate,2,0,24,0.22332,0.2483935922678904,12,0.2610351242252558,0.47198528358701053,
nsga2_surrogate,2,1,36,0.36366,0.21620513197243604,16,0.24191908932922404,0.48359681793810316,0.546670050837343
nsga2_surrogate,2,2,48,0.49657,0.1970001938676394,18,0.12652795304380868,0.46039452021341926,0.5537328110493241
nsga2_surrogate,2,3,60,0.53932,0.1772378060047381,24,0.10966162059489054,0.4487695314828942,0.4855651974249921
nsga2_surrogate,2,4,72,0.56675,0.17595340855674627,27,0.09993496021252746,0.4399582849830846,0.5184123660097432
nsga2_surrogate,2,5,84,0.57842,0.17494166059582347,29,0.10608971949589989,0.43750491945064457,0.5237192310084725
nsga2_surrogate,2,6,96,0.58206,0.16159927330465393,32,0.1196174977940455,0.44540541232338976,0.5619870198263424
nsga2_surrogate,3,0,24,0.12344,0.30553977726534287,11,0.12402363262964096,0.44854570296597546,
nsga2_surrogate,3,1,36,0.36145,0.25452402987334766,14,0.18263259280104677,0.4825788458639351,0.5757060515590476
nsga2_surrogate,3,2,48,0.37219,0.22525225845556235,19,0.1707621322393623,0.5058020848895176,0.6019879115443993
nsga2_surrogate,3,3,60,0.37938,0.22958985263559592,23,0.14098748822063045,0.5078867210619169,0.5735354148165182
nsga2_surrogate,3,4,72,0.40001,0.21637562677607358,28,0.13608887296363079,0.5174422691049072,0.5920434756290394
